n_id,longitude,latitude,type,voltage,frequency,name,operator
179180932,3.03466332339,41.8068956378,substation,110000,50,Subestació de Castell dAro,
178538046,2.89791791303,41.8625626621,substation,110000,,Subestació de Cassa,
184630005,3.05217687176,41.9428268173,substation,None,,,
172550311,3.15099284362,41.929684323,substation,110000,50,Subestació de Palafrugell,
167703095,3.16553580168,41.9216126009,substation,110000,50,Subestació de Palafrugell,
179186147,2.86279519404,41.7216326632,substation,110000,50,,
140011920,0.877161989287,40.9726054648,substation,110000,50,Subestació de Vandellòs,
171451300,1.03851607221,41.0835539413,substation,110000,50,Subestació de Cambrils,
200445588,1.72212101781,41.2529297332,substation,110000,50,Subestació Garraf 1,Endesa
231787564,1.37355756086,41.1542301742,substation,110000,,,
169722563,1.1980048272,41.1140463891,substation,220000,50,,
303582103,1.10624774522,41.1680489789,substation,110000,50,Endesa Distribución,Endesa
224613181,1.69708419367,41.3304633309,substation,110000,50,,
200253359,1.71957466063,41.2551785858,substation,400000-110000,50,Subestació Garraf 2,Red Eléctrica de España
176563095,1.14086057821,42.5704307212,substation,None,,Central Hidroelèctrica dEspot,Fecsa Endesa
176563156,1.08327586506,42.5795865522,substation,None,,,
109621025,2.21821483487,41.5118682821,substation,110000,,Subestació elèctrica de Sant Fost de Campsentelles,
172815157,2.33472506625,41.5169389515,substation,110000,50,Subestació de Sant Mateu,
178411046,2.24900153194,41.9357822437,substation,None,,,Red Eléctrica de España
105336176,1.93513290914,41.7669150063,sub_station,None,,Estació receptora de Calders,
176922539,2.73183820815,41.7018707941,substation,110000,50,Subestació de Tordera,Endesa
62047739,2.81313833411,41.9686103557,substation,None,,,
111584995,2.47067750527,41.7066435195,substation,220000-110000,50,Subestacio de Sant Celoni,
179189710,2.69685964911,41.6487691173,substation,110000,50,Subestació de Santa Susanna,
179189708,2.45302161874,41.5499599225,substation,110000,50,Subestació de Mataró,
105579046,2.90069138272,42.0224963537,substation,220000-132000-110000,50,Subestació de Juià,Red Eléctrica de España
178876353,1.71264254301,41.8740849535,substation,110000,50,Cardona,
259027876,1.48426264719,41.995550499,substation,110000-25000,50,Solsona,
259805786,1.29382461363,42.0919731962,generator,None,,Central hidroelèctrica dOliana,
227833165,0.461768820826,41.4681396212,plant,None,,Central hidroelèctrica de Seròs,
100461568,-5.8527110885,38.9478384208,substation,132000-66000,50,,
223059888,-5.53951877829,38.9856123984,substation,132000,50,Subestación de Orellana,
385075229,-6.28975423398,38.8935753626,generator,None,,,
145326592,0.175168450197,41.9333515121,substation,220000,50,Subestación de Monzón,Red Eléctrica de España
402782838,0.149472495157,41.9265790777,substation,132000,50,,
189128199,-7.81246417217,43.5259868434,substation,132000,50,,
187645711,-7.85419062987,43.4337893838,substation,132000-20000,50,Mourela,
380470793,-2.4311802469,41.4102971552,substation,132000,50,,
190236352,-2.50255283317,41.4377217791,substation,400000,50,Subestación de Almazán,Red Eléctrica de España
190238377,-2.27911566242,41.5777249248,substation,132000,50,,
190238378,-2.3242783735,41.403205822,substation,132000,50,,
399104985,-2.41758500333,39.4152688433,substation,132000,50,Subestación de San Clemente,
177917691,-2.59847770956,39.2846599292,substation,132000,50,Subestación de Villarrobledo,
223209049,-2.08482653483,39.6376347415,substation,400000-220000-132000,50,Subestación de Olmedilla,Red Eléctrica de España
